,name,layer_affected,kernel_index,layer_affected_index,position_disrupted,min_var,max_var,original_weight_value,quantized_value,bit_disrupted,flipped_quantized_value,flipped_weight_value,q_aware_accuracy,tflite_accuracy,q_aware_acc_degradation,tflite_acc_degradation,original_laplacian,modified_laplacian,original_int_laplacian,modified_int_laplacian,abs_laplacian_diff,abs_int_laplacian_diff
42,model_1_41,conv2d_1/kernel,1.0,4.0,"(3, 0, 29, 2)",-0.55156010389328,0.55156010389328,0.12718291580677032,29.0,2.0,25.0,0.10857482360103937,0.9114999771118164,0.9117,0.0,0.0,-0.3796548843383789,-0.32383060455322266,-86.0,-74.0,0.05582427978515625,12.0
43,model_1_42,conv2d_1/kernel,1.0,4.0,"(4, 2, 0, 55)",-0.5040554404258728,0.5040554404258728,-0.07349018007516861,-19.0,3.0,-27.0,-0.1071613928464454,0.9114999771118164,0.9117,0.0,0.0,0.13836878538131714,0.23938241600990295,36.0,60.0,0.10101363062858582,24.0
44,model_1_43,conv2d_1/kernel,1.0,4.0,"(1, 4, 4, 24)",-0.7118183970451355,0.7118183970451355,-0.16365203261375427,-29.0,4.0,-13.0,-0.07286330048493513,0.9120000004768372,0.9121,0.000500023365020752,0.00040000000000006697,0.11808298528194427,-0.15428319573402405,20.0,-28.0,0.27236616611480713,48.0
45,model_1_44,conv2d_1/kernel,1.0,4.0,"(4, 1, 18, 45)",-0.06663472205400467,0.06663472205400467,-0.03573094680905342,-68.0,5.0,-100.0,-0.05246828508189344,0.9114999771118164,0.9117,0.0,0.0,0.030222158879041672,0.0804341733455658,58.0,154.0,0.050212014466524124,96.0
46,model_1_45,conv2d_1/kernel,1.0,4.0,"(4, 3, 4, 43)",-0.5110384821891785,0.5110384821891785,0.17393669486045837,43.0,7.0,-85.0,-0.34203362981165486,0.911899983882904,0.9122,0.0004000067710876465,0.000500000000000056,-0.5887160897254944,0.9591948986053467,-145.0,239.0,1.5479109287261963,384.0
47,model_1_46,conv2d_1/kernel,1.0,4.0,"(1, 3, 3, 7)",-0.4408436715602875,0.4408436715602875,0.05006449297070503,14.0,6.0,78.0,0.2707543809582868,0.9115999937057495,0.9117,0.00010001659393310547,0.0,0.2995944023132324,-0.5831650495529175,88.0,-168.0,0.8827594518661499,256.0
48,model_1_47,conv2d_1/kernel,1.0,4.0,"(1, 1, 30, 15)",-0.6074090600013733,0.6074090600013733,-0.09882155060768127,-21.0,7.0,107.0,0.5117540899224169,0.9122999906539917,0.912,0.000800013542175293,0.000300000000000078,-0.40795886516571045,-2.8502612113952637,-84.0,-596.0,2.4423022270202637,512.0
49,model_1_48,conv2d_1/kernel,1.0,4.0,"(3, 0, 31, 19)",-0.47254568338394165,0.47254568338394165,-0.07569202035665512,-20.0,2.0,-24.0,-0.08929997166310709,0.9115999937057495,0.9117,0.00010001659393310547,0.0,-0.19273650646209717,-0.1519126445055008,-53.0,-41.0,0.040823861956596375,12.0
50,model_1_49,conv2d_1/kernel,1.0,4.0,"(2, 1, 7, 10)",-0.5918752551078796,0.5918752551078796,0.0006443382008001208,0.0,7.0,-128.0,-0.5965356901874692,0.9114000201225281,0.9113,-9.995698928833008e-05,-0.00039999999999995595,0.03271746635437012,2.4214375019073486,7.0,519.0,2.3887200355529785,512.0
51,model_1_50,conv2d_1/kernel,1.0,4.0,"(3, 0, 26, 15)",-0.6074090600013733,0.6074090600013733,0.027564069256186485,6.0,6.0,70.0,0.33479239527634747,0.9117000102996826,0.9117,0.00020003318786621094,0.0,-0.1771555244922638,-1.0988404750823975,-39.0,-231.0,0.921684980392456,192.0
