;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;model-original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
1749;5_20230519 08:50:09;quant_conv2d;1;2;12;23;0.8701000213623047;-0.041499972343444824;0.44928282499313354
1750;5_20230519 08:50:13;quant_conv2d;1;2;13;23;0.8715999722480774;-0.04000002145767212;0.4575066864490509
1751;5_20230519 08:50:17;quant_conv2d;1;2;14;23;0.8697999715805054;-0.04180002212524414;0.46186336874961853
1752;5_20230519 08:50:21;quant_conv2d;1;2;15;23;0.8651000261306763;-0.04649996757507324;0.48536479473114014
1753;5_20230519 08:50:25;quant_conv2d;1;2;16;23;0.8600999712944031;-0.051500022411346436;0.5008012056350708
1754;5_20230519 08:50:29;quant_conv2d;1;2;17;23;0.8636999726295471;-0.04790002107620239;0.4903950095176697
1755;5_20230519 08:50:33;quant_conv2d;1;2;18;23;0.857699990272522;-0.05390000343322754;0.5188149809837341
1756;0_20230519 18:49:31;quant_conv2d;1;2;1;1;0.9115999937057495;0.0;0.2891831398010254
1757;0_20230519 18:49:36;quant_conv2d;1;2;2;1;0.9115999937057495;0.0;0.2891831398010254
1758;0_20230519 18:49:41;quant_conv2d;1;2;3;1;0.9115999937057495;0.0;0.28918299078941345
1759;0_20230519 18:49:45;quant_conv2d;1;2;4;1;0.9115999937057495;0.0;0.2891831398010254
1760;0_20230519 18:49:49;quant_conv2d;1;2;1;3;0.9115999937057495;0.0;0.2891831398010254
1761;0_20230519 18:49:54;quant_conv2d;1;2;2;3;0.9115999937057495;0.0;0.2891831398010254
1762;0_20230519 18:49:58;quant_conv2d;1;2;3;3;0.9115999937057495;0.0;0.289175808429718
1763;0_20230519 18:50:04;quant_conv2d;1;2;4;3;0.9115999937057495;0.0;0.2891840934753418
1764;0_20230519 18:50:07;quant_conv2d;1;2;1;5;0.9115999937057495;0.0;0.28917810320854187
1765;0_20230519 18:50:11;quant_conv2d;1;2;2;5;0.9114999771118164;-0.00010001659393310547;0.2891843616962433
1766;0_20230519 18:50:15;quant_conv2d;1;2;3;5;0.9115999937057495;0.0;0.28920015692710876
1767;0_20230519 18:50:19;quant_conv2d;1;2;4;5;0.9117000102996826;0.00010001659393310547;0.28916195034980774
1768;0_20230519 18:50:23;quant_conv2d;1;2;1;7;0.9115999937057495;0.0;0.28922009468078613
1769;0_20230519 18:50:27;quant_conv2d;1;2;2;7;0.9114999771118164;-0.00010001659393310547;0.28922349214553833
1770;0_20230519 18:50:30;quant_conv2d;1;2;3;7;0.9115999937057495;0.0;0.28918129205703735
1771;0_20230519 18:50:34;quant_conv2d;1;2;4;7;0.9117000102996826;0.00010001659393310547;0.2891708016395569
1772;0_20230519 18:50:37;quant_conv2d;1;2;1;9;0.9115999937057495;0.0;0.28918060660362244
1773;0_20230519 18:50:40;quant_conv2d;1;2;2;9;0.9117000102996826;0.00010001659393310547;0.28920137882232666
1774;0_20230519 18:50:44;quant_conv2d;1;2;3;9;0.9114999771118164;-0.00010001659393310547;0.2892231047153473
1775;0_20230519 18:50:48;quant_conv2d;1;2;4;9;0.9120000004768372;0.0004000067710876465;0.2891789674758911
1776;0_20230519 18:50:51;quant_conv2d;1;2;1;11;0.9117000102996826;0.00010001659393310547;0.28918495774269104
1777;0_20230519 18:50:55;quant_conv2d;1;2;2;11;0.9114999771118164;-0.00010001659393310547;0.2891666293144226
1778;0_20230519 18:50:58;quant_conv2d;1;2;3;11;0.9118000268936157;0.00020003318786621094;0.28908291459083557
1779;0_20230519 18:51:01;quant_conv2d;1;2;4;11;0.9117000102996826;0.00010001659393310547;0.2891561686992645
1780;0_20230519 18:51:05;quant_conv2d;1;2;1;13;0.9117000102996826;0.00010001659393310547;0.28927966952323914
1781;0_20230519 18:51:08;quant_conv2d;1;2;2;13;0.9114999771118164;-0.00010001659393310547;0.28906193375587463
1782;0_20230519 18:51:11;quant_conv2d;1;2;3;13;0.9118000268936157;0.00020003318786621094;0.2892437279224396
1783;0_20230519 18:51:18;quant_conv2d;1;2;4;13;0.9111999869346619;-0.0004000067710876465;0.2887471318244934
1784;0_20230519 18:51:21;quant_conv2d;1;2;1;15;0.911899983882904;0.000299990177154541;0.2894052267074585
1785;0_20230519 18:51:24;quant_conv2d;1;2;2;15;0.9117000102996826;0.00010001659393310547;0.28908392786979675
1786;0_20230519 18:51:28;quant_conv2d;1;2;3;15;0.911899983882904;0.000299990177154541;0.2893299162387848
1787;0_20230519 18:51:31;quant_conv2d;1;2;4;15;0.9118000268936157;0.00020003318786621094;0.2896048426628113
1788;0_20230519 18:51:34;quant_conv2d;1;2;1;17;0.9118000268936157;0.00020003318786621094;0.2921348512172699
1789;0_20230519 18:51:38;quant_conv2d;1;2;2;17;0.9106000065803528;-0.0009999871253967285;0.2923490107059479
1790;0_20230519 18:51:46;quant_conv2d;1;2;3;17;0.9099000096321106;-0.001699984073638916;0.29224199056625366
1791;0_20230519 18:51:54;quant_conv2d;1;2;4;17;0.9115999937057495;0.0;0.2919677495956421
1792;0_20230519 18:51:58;quant_conv2d;1;2;1;19;0.9071000218391418;-0.004499971866607666;0.2986592650413513
1793;0_20230519 18:52:02;quant_conv2d;1;2;2;19;0.9053999781608582;-0.006200015544891357;0.3132261335849762
1794;0_20230519 18:52:05;quant_conv2d;1;2;3;19;0.9021999835968018;-0.009400010108947754;0.3187856078147888
1795;0_20230519 18:52:09;quant_conv2d;1;2;4;19;0.8999999761581421;-0.011600017547607422;0.3374136984348297
1796;0_20230519 18:52:12;quant_conv2d;1;2;1;21;0.9082000255584717;-0.003399968147277832;0.30189627408981323
1797;0_20230519 18:52:16;quant_conv2d;1;2;2;21;0.9070000052452087;-0.0045999884605407715;0.31053486466407776
1798;0_20230519 18:52:19;quant_conv2d;1;2;3;21;0.900600016117096;-0.010999977588653564;0.3291027545928955
1799;0_20230519 18:52:29;quant_conv2d;1;2;4;21;0.8962000012397766;-0.0153999924659729;0.339474618434906
1800;0_20230519 18:52:32;quant_conv2d;1;2;1;23;0.9074000120162964;-0.004199981689453125;0.30359479784965515
1801;0_20230519 18:52:36;quant_conv2d;1;2;2;23;0.9045000076293945;-0.0070999860763549805;0.3177844285964966
1802;0_20230519 18:52:40;quant_conv2d;1;2;3;23;0.9006999731063843;-0.010900020599365234;0.33139267563819885
1803;0_20230519 18:52:43;quant_conv2d;1;2;4;23;0.8964999914169312;-0.01510000228881836;0.33965542912483215
