;name;layer_key;kernel_index;layer_index;n_bits_flipped;bit_disrupted;q_aware_test_accuracy;q_aware_test_acc_degradation;q_aware_test_loss
;original;;;;;;(0.9114999771118164, 0.9117);;(0.2890910804271698, 0.3396423)
140;0_2023-05-23 10:01:10;quant_conv2d;1;2;5;17;0.9089;-0.0026999999999999247;0.30613053
141;0_2023-05-23 10:01:14;quant_conv2d;1;2;6;17;0.9078;-0.0037999999999999146;0.3073943
142;0_2023-05-23 10:01:18;quant_conv2d;1;2;7;17;0.9071;-0.0044999999999999485;0.31096292
143;0_2023-05-23 10:01:22;quant_conv2d;1;2;8;17;0.9071;-0.0044999999999999485;0.31559086
144;0_2023-05-23 10:01:25;quant_conv2d;1;2;1;18;0.9082;-0.0033999999999999586;0.30481914
145;0_2023-05-23 10:01:29;quant_conv2d;1;2;2;18;0.9056;-0.006000000000000005;0.31778064
146;0_2023-05-23 10:01:33;quant_conv2d;1;2;3;18;0.8998;-0.011799999999999922;0.3474381
147;0_2023-05-23 10:01:37;quant_conv2d;1;2;4;18;0.8998;-0.011799999999999922;0.3514956
148;0_2023-05-23 10:01:41;quant_conv2d;1;2;5;18;0.8977;-0.013899999999999912;0.37275377
149;0_2023-05-23 10:01:44;quant_conv2d;1;2;6;18;0.8958;-0.015799999999999925;0.37277386
150;0_2023-05-23 10:01:49;quant_conv2d;1;2;7;18;0.8919;-0.01969999999999994;0.40691417
151;0_2023-05-23 10:01:53;quant_conv2d;1;2;8;18;0.8858;-0.025799999999999934;0.42240497
152;0_2023-05-23 10:01:56;quant_conv2d;1;2;1;19;0.9001;-0.011499999999999955;0.35086486
153;0_2023-05-23 10:02:00;quant_conv2d;1;2;2;19;0.8897;-0.02189999999999992;0.41896167
154;0_2023-05-23 10:02:04;quant_conv2d;1;2;3;19;0.8757;-0.03589999999999993;0.4640962
155;0_2023-05-23 10:02:08;quant_conv2d;1;2;4;19;0.8728;-0.038799999999999946;0.5246783
156;0_2023-05-23 10:02:11;quant_conv2d;1;2;5;19;0.8669;-0.04469999999999996;0.56892574
157;0_2023-05-23 10:02:15;quant_conv2d;1;2;6;19;0.8558;-0.05579999999999996;0.6332038
158;0_2023-05-23 10:02:20;quant_conv2d;1;2;7;19;0.8467;-0.06489999999999996;0.69629943
159;0_2023-05-23 10:02:24;quant_conv2d;1;2;8;19;0.8334;-0.07819999999999994;0.7381439
160;0_2023-05-23 10:02:27;quant_conv2d;1;2;1;20;0.8825;-0.029100000000000015;0.44228858
161;0_2023-05-23 10:02:31;quant_conv2d;1;2;2;20;0.8552;-0.056400000000000006;0.6142412
162;0_2023-05-23 10:02:35;quant_conv2d;1;2;3;20;0.8384;-0.07319999999999993;0.7625873
163;0_2023-05-23 10:02:38;quant_conv2d;1;2;4;20;0.8122;-0.09939999999999993;0.91613704
164;0_2023-05-23 10:02:42;quant_conv2d;1;2;5;20;0.7804;-0.13119999999999998;1.0722533
165;0_2023-05-23 10:02:46;quant_conv2d;1;2;6;20;0.7673;-0.14429999999999998;1.2119173
166;0_2023-05-23 10:02:50;quant_conv2d;1;2;7;20;0.7455;-0.16609999999999991;1.3403959
167;0_2023-05-23 10:02:55;quant_conv2d;1;2;8;20;0.7305;-0.18109999999999993;1.5188634
168;0_2023-05-23 10:02:58;quant_conv2d;1;2;1;21;0.8243;-0.08729999999999993;0.8311037
169;0_2023-05-23 10:03:02;quant_conv2d;1;2;2;21;0.7472;-0.1644;1.4543352
170;0_2023-05-23 10:03:06;quant_conv2d;1;2;3;21;0.692;-0.21960000000000002;1.9295738
171;0_2023-05-23 10:03:09;quant_conv2d;1;2;4;21;0.6338;-0.27779999999999994;2.3833284
172;0_2023-05-23 10:03:13;quant_conv2d;1;2;5;21;0.6012;-0.3104;2.8190322
173;0_2023-05-23 10:03:17;quant_conv2d;1;2;6;21;0.5616;-0.35;3.1190395
174;0_2023-05-23 10:03:21;quant_conv2d;1;2;7;21;0.5248;-0.3867999999999999;3.496734
175;0_2023-05-23 10:03:26;quant_conv2d;1;2;8;21;0.4959;-0.41569999999999996;3.8763022
176;0_2023-05-23 10:03:29;quant_conv2d;1;2;1;22;0.7246;-0.18699999999999994;1.9762641
177;0_2023-05-23 10:03:33;quant_conv2d;1;2;2;22;0.5802;-0.3313999999999999;3.3893034
178;0_2023-05-23 10:03:37;quant_conv2d;1;2;3;22;0.4828;-0.42879999999999996;4.457627
179;0_2023-05-23 10:03:40;quant_conv2d;1;2;4;22;0.4125;-0.4991;5.38054
180;0_2023-05-23 10:03:44;quant_conv2d;1;2;5;22;0.3769;-0.5347;5.87471
181;0_2023-05-23 10:03:48;quant_conv2d;1;2;6;22;0.3351;-0.5765;6.453128
182;0_2023-05-23 10:03:52;quant_conv2d;1;2;7;22;0.3056;-0.606;6.8580093
183;0_2023-05-23 10:03:57;quant_conv2d;1;2;8;22;0.2788;-0.6328;7.277529
