,reference,layer_name,n_bits_flipped,bit_disrupted,accuracy,accuracy_degradation,loss
272,2023/10/25 09:52:49,conv2d/,1,4,0.9133,0.0007000000000000339,0.38821867
273,2023/10/25 09:52:50,conv2d/,2,4,0.9135,0.000500000000000056,0.3906456
274,2023/10/25 09:52:52,conv2d/,3,4,0.9118,0.0021999999999999797,0.3974876
275,2023/10/25 09:52:54,conv2d/,4,4,0.913,0.0010000000000000009,0.38972744
276,2023/10/25 09:52:55,conv2d/,1,5,0.913,0.0010000000000000009,0.3859871
277,2023/10/25 09:52:57,conv2d/,2,5,0.9133,0.0007000000000000339,0.38964993
278,2023/10/25 09:52:59,conv2d/,3,5,0.912,0.0020000000000000018,0.39221138
279,2023/10/25 09:53:00,conv2d/,4,5,0.9129,0.0010999999999999899,0.38994414
280,2023/10/25 09:53:02,conv2d/,1,6,0.9142,-0.00019999999999997797,0.38421193
281,2023/10/25 09:53:04,conv2d/,2,6,0.9097,0.0043000000000000815,0.38263232
282,2023/10/25 09:53:05,conv2d/,3,6,0.9105,0.0035000000000000586,0.4008213
283,2023/10/25 09:53:07,conv2d/,4,6,0.9131,0.0009000000000000119,0.39217538
284,2023/10/25 09:53:09,conv2d/,1,7,0.9123,0.0017000000000000348,0.3993854
285,2023/10/25 09:53:10,conv2d/,2,7,0.9061,0.007900000000000018,0.37224427
286,2023/10/25 09:53:12,conv2d/,3,7,0.9134,0.0006000000000000449,0.39717522
287,2023/10/25 09:53:14,conv2d/,4,7,0.908,0.006000000000000005,0.4121747
288,2023/10/25 09:53:15,conv2d/,1,0,0.9138,0.000200000000000089,0.38955498
289,2023/10/25 09:53:17,conv2d/,2,0,0.9143,-0.00029999999999996696,0.38705435
290,2023/10/25 09:53:19,conv2d/,3,0,0.9141,-9.999999999998899e-05,0.38944432
291,2023/10/25 09:53:20,conv2d/,4,0,0.9139,9.999999999998899e-05,0.38956162
292,2023/10/25 09:53:22,conv2d/,1,1,0.9145,-0.0004999999999999449,0.3893875
293,2023/10/25 09:53:24,conv2d/,2,1,0.914,0.0,0.3873552
294,2023/10/25 09:53:25,conv2d/,3,1,0.9142,-0.00019999999999997797,0.3905254
295,2023/10/25 09:53:27,conv2d/,4,1,0.914,0.0,0.39085227
296,2023/10/25 09:53:29,conv2d/,1,2,0.9138,0.000200000000000089,0.38850677
297,2023/10/25 09:53:30,conv2d/,2,2,0.9144,-0.00039999999999995595,0.38764635
298,2023/10/25 09:53:32,conv2d/,3,2,0.9139,9.999999999998899e-05,0.3899645
299,2023/10/25 09:53:34,conv2d/,4,2,0.9146,-0.0005999999999999339,0.39050817
300,2023/10/25 09:53:35,conv2d/,1,3,0.9141,-9.999999999998899e-05,0.38815337
301,2023/10/25 09:53:37,conv2d/,2,3,0.9138,0.000200000000000089,0.3901457
