,reference,layer_key,kernel_index,layer_index,n_bits_flipped,bit_disrupted,q_aware_test_accuracy,q_aware_test_acc_degradation,q_aware_test_loss
24503,2023/05/21 23:21:08,quant_conv2d,1,2,8,22,0.8812999725341797,-0.030300021171569824,0.3958176076412201
24504,2023/05/21 23:21:12,quant_conv2d,1,2,1,23,0.9071999788284302,-0.004400014877319336,0.3013382852077484
24505,2023/05/21 23:21:15,quant_conv2d,1,2,2,23,0.904699981212616,-0.006900012493133545,0.31893190741539
24506,2023/05/21 23:21:19,quant_conv2d,1,2,3,23,0.9036999940872192,-0.007899999618530273,0.32345712184906006
24507,2023/05/21 23:21:23,quant_conv2d,1,2,4,23,0.9010999798774719,-0.010500013828277588,0.3394654095172882
24508,2023/05/21 23:21:27,quant_conv2d,1,2,5,23,0.8931000232696533,-0.01849997043609619,0.3607823848724365
24509,2023/05/21 23:21:31,quant_conv2d,1,2,6,23,0.8920000195503235,-0.019599974155426025,0.36816123127937317
24510,2023/05/21 23:21:35,quant_conv2d,1,2,7,23,0.8862000107765198,-0.025399982929229736,0.3774574100971222
24511,2023/05/21 23:21:39,quant_conv2d,1,2,8,23,0.8866000175476074,-0.02499997615814209,0.3935618996620178
24512,2023/05/22 23:13:56,quant_conv2d,1,2,1,24,0.9072999954223633,-0.0042999982833862305,0.30218687653541565
24513,2023/05/22 23:14:00,quant_conv2d,1,2,2,24,0.9053000211715698,-0.0062999725341796875,0.3093567192554474
24514,2023/05/22 23:14:04,quant_conv2d,1,2,3,24,0.9010999798774719,-0.010500013828277588,0.32836413383483887
24515,2023/05/22 23:14:08,quant_conv2d,1,2,4,24,0.8971999883651733,-0.014400005340576172,0.3424820899963379
24516,2023/05/22 23:14:12,quant_conv2d,1,2,5,24,0.8967999815940857,-0.014800012111663818,0.3488679826259613
24517,2023/05/22 23:14:16,quant_conv2d,1,2,6,24,0.8917999863624573,-0.019800007343292236,0.3631379008293152
24518,2023/05/22 23:14:21,quant_conv2d,1,2,7,24,0.8877999782562256,-0.023800015449523926,0.3759877383708954
24519,2023/05/22 23:14:25,quant_conv2d,1,2,8,24,0.888700008392334,-0.022899985313415527,0.3878641724586487
24520,2023/05/22 23:14:29,quant_conv2d,1,2,1,25,0.9064000248908997,-0.0051999688148498535,0.3029909133911133
24521,2023/05/22 23:14:33,quant_conv2d,1,2,2,25,0.9049999713897705,-0.006600022315979004,0.3140908479690552
24522,2023/05/22 23:14:37,quant_conv2d,1,2,3,25,0.9010000228881836,-0.010599970817565918,0.32327404618263245
24523,2023/05/22 23:14:42,quant_conv2d,1,2,4,25,0.896399974822998,-0.015200018882751465,0.3386176526546478
24524,2023/05/22 23:14:46,quant_conv2d,1,2,5,25,0.8942999839782715,-0.017300009727478027,0.3498777449131012
24525,2023/05/22 23:14:50,quant_conv2d,1,2,6,25,0.8914999961853027,-0.020099997520446777,0.3639407455921173
24526,2023/05/22 23:14:54,quant_conv2d,1,2,7,25,0.892300009727478,-0.019299983978271484,0.36396023631095886
24527,2023/05/22 23:14:59,quant_conv2d,1,2,8,25,0.8833000063896179,-0.028299987316131592,0.39136505126953125
24528,2023/05/22 23:15:03,quant_conv2d,1,2,1,26,0.9068999886512756,-0.004700005054473877,0.3021758496761322
24529,2023/05/22 23:15:07,quant_conv2d,1,2,2,26,0.9042999744415283,-0.007300019264221191,0.31226497888565063
24530,2023/05/22 23:15:11,quant_conv2d,1,2,3,26,0.9014000296592712,-0.010199964046478271,0.3264065086841583
24531,2023/05/22 23:15:15,quant_conv2d,1,2,4,26,0.8986999988555908,-0.012899994850158691,0.34519004821777344
24532,2023/05/22 23:15:19,quant_conv2d,1,2,5,26,0.8978999853134155,-0.013700008392333984,0.34275195002555847
24533,2023/05/22 23:15:24,quant_conv2d,1,2,6,26,0.8895999789237976,-0.022000014781951904,0.3672279417514801
24534,2023/05/22 23:15:29,quant_conv2d,1,2,7,26,0.8855000138282776,-0.026099979877471924,0.38028255105018616
24535,2023/05/22 23:15:33,quant_conv2d,1,2,8,26,0.8855000138282776,-0.026099979877471924,0.39308488368988037
24536,2023/05/22 23:15:37,quant_conv2d,1,2,1,27,0.9075000286102295,-0.0040999650955200195,0.30434197187423706
24537,2023/05/22 23:15:41,quant_conv2d,1,2,2,27,0.9049000144004822,-0.006699979305267334,0.3152947723865509
24538,2023/05/22 23:15:45,quant_conv2d,1,2,3,27,0.9032999873161316,-0.00830000638961792,0.3263542354106903
24539,2023/05/22 23:15:50,quant_conv2d,1,2,4,27,0.8981000185012817,-0.013499975204467773,0.33944249153137207
24540,2023/05/22 23:15:54,quant_conv2d,1,2,5,27,0.8937000036239624,-0.01789999008178711,0.35096269845962524
24541,2023/05/22 23:15:58,quant_conv2d,1,2,6,27,0.8931000232696533,-0.01849997043609619,0.3674766719341278
24542,2023/05/22 23:16:03,quant_conv2d,1,2,7,27,0.886900007724762,-0.02469998598098755,0.38965457677841187
24543,2023/05/22 23:16:07,quant_conv2d,1,2,8,27,0.8844000101089478,-0.027199983596801758,0.4094294309616089
24544,2023/05/22 23:16:11,quant_conv2d,1,2,1,28,0.9093000292778015,-0.002299964427947998,0.29692110419273376
24545,2023/05/22 23:16:15,quant_conv2d,1,2,2,28,0.9063000082969666,-0.005299985408782959,0.31501126289367676
24546,2023/05/22 23:16:20,quant_conv2d,1,2,3,28,0.9039000272750854,-0.0076999664306640625,0.3233959376811981
24547,2023/05/22 23:16:24,quant_conv2d,1,2,4,28,0.8970999717712402,-0.014500021934509277,0.34510067105293274
24548,2023/05/22 23:16:28,quant_conv2d,1,2,5,28,0.8937000036239624,-0.01789999008178711,0.362140417098999
24549,2023/05/22 23:16:32,quant_conv2d,1,2,6,28,0.8920000195503235,-0.019599974155426025,0.36446505784988403
24550,2023/05/22 23:16:36,quant_conv2d,1,2,7,28,0.890999972820282,-0.02060002088546753,0.3753112554550171
24551,2023/05/22 23:16:41,quant_conv2d,1,2,8,28,0.8859000205993652,-0.025699973106384277,0.3915995657444
24552,2023/05/22 23:16:45,quant_conv2d,1,2,1,29,0.9093999862670898,-0.002200007438659668,0.3011036515235901
24553,2023/05/22 23:16:49,quant_conv2d,1,2,2,29,0.9039999842643738,-0.007600009441375732,0.31663069128990173
24554,2023/05/22 23:16:53,quant_conv2d,1,2,3,29,0.8998000025749207,-0.011799991130828857,0.32340940833091736
24555,2023/05/22 23:16:57,quant_conv2d,1,2,4,29,0.8963000178337097,-0.015299975872039795,0.343394935131073
24556,2023/05/22 23:17:02,quant_conv2d,1,2,5,29,0.8939999938011169,-0.01759999990463257,0.3610004186630249
24557,2023/05/22 23:17:06,quant_conv2d,1,2,6,29,0.8930000066757202,-0.018599987030029297,0.361235111951828
24558,2023/05/22 23:17:11,quant_conv2d,1,2,7,29,0.8895999789237976,-0.022000014781951904,0.36806443333625793
24559,2023/05/22 23:17:15,quant_conv2d,1,2,8,29,0.8840000033378601,-0.027599990367889404,0.3893677890300751
24560,2023/05/22 23:17:19,quant_conv2d,1,2,1,30,0.906499981880188,-0.0051000118255615234,0.3009885847568512
24561,2023/05/22 23:17:23,quant_conv2d,1,2,2,30,0.9039000272750854,-0.0076999664306640625,0.31650036573410034
24562,2023/05/22 23:17:27,quant_conv2d,1,2,3,30,0.9023000001907349,-0.009299993515014648,0.3255925178527832
24563,2023/05/22 23:17:31,quant_conv2d,1,2,4,30,0.8981000185012817,-0.013499975204467773,0.3381568491458893
24564,2023/05/22 23:17:36,quant_conv2d,1,2,5,30,0.9018999934196472,-0.009700000286102295,0.3396702706813812
24565,2023/05/22 23:17:40,quant_conv2d,1,2,6,30,0.8913999795913696,-0.020200014114379883,0.36133110523223877
24566,2023/05/22 23:17:44,quant_conv2d,1,2,7,30,0.8894000053405762,-0.02219998836517334,0.3794296681880951
24567,2023/05/22 23:17:49,quant_conv2d,1,2,8,30,0.8848000168800354,-0.02679997682571411,0.3879835307598114
24568,2023/05/22 23:17:53,quant_conv2d,1,2,1,31,0.9053000211715698,-0.0062999725341796875,0.3066852390766144
24569,2023/05/22 23:17:57,quant_conv2d,1,2,2,31,0.904699981212616,-0.006900012493133545,0.3185752332210541
24570,2023/05/22 23:18:01,quant_conv2d,1,2,3,31,0.8995000123977661,-0.012099981307983398,0.3363039195537567
24571,2023/05/22 23:18:05,quant_conv2d,1,2,4,31,0.8914999961853027,-0.020099997520446777,0.3499618172645569
24572,2023/05/22 23:18:09,quant_conv2d,1,2,5,31,0.8828999996185303,-0.02869999408721924,0.37638238072395325
24573,2023/05/22 23:18:13,quant_conv2d,1,2,6,31,0.8833000063896179,-0.028299987316131592,0.3920636773109436
24574,2023/05/22 23:18:18,quant_conv2d,1,2,7,31,0.8837000131607056,-0.027899980545043945,0.4010881781578064
24575,2023/05/22 23:18:22,quant_conv2d,1,2,8,31,0.8730000257492065,-0.03859996795654297,0.4307641088962555
24576,2023/05/21 23:25:43,quant_conv2d,1,2,1,0,0.9115999937057495,0.0,0.2891831398010254
24577,2023/05/21 23:25:46,quant_conv2d,1,2,2,0,0.9115999937057495,0.0,0.2891831398010254
24578,2023/05/21 23:25:49,quant_conv2d,1,2,3,0,0.9115999937057495,0.0,0.28918206691741943
24579,2023/05/21 23:25:52,quant_conv2d,1,2,4,0,0.9115999937057495,0.0,0.2891831398010254
24580,2023/05/21 23:25:56,quant_conv2d,1,2,5,0,0.9115999937057495,0.0,0.2891831398010254
24581,2023/05/21 23:25:59,quant_conv2d,1,2,6,0,0.9115999937057495,0.0,0.2891830503940582
24582,2023/05/21 23:26:03,quant_conv2d,1,2,7,0,0.9115999937057495,0.0,0.28917989134788513
24583,2023/05/21 23:26:07,quant_conv2d,1,2,8,0,0.9115999937057495,0.0,0.2891831398010254
24584,2023/05/21 23:26:10,quant_conv2d,1,2,1,1,0.9115999937057495,0.0,0.2891831398010254
24585,2023/05/21 23:26:13,quant_conv2d,1,2,2,1,0.9115999937057495,0.0,0.2891831398010254
24586,2023/05/21 23:26:16,quant_conv2d,1,2,3,1,0.9115999937057495,0.0,0.28918319940567017
24587,2023/05/21 23:26:20,quant_conv2d,1,2,4,1,0.9115999937057495,0.0,0.2891732454299927
24588,2023/05/21 23:26:23,quant_conv2d,1,2,5,1,0.9115999937057495,0.0,0.2891831398010254
24589,2023/05/21 23:26:26,quant_conv2d,1,2,6,1,0.9115999937057495,0.0,0.28918227553367615
24590,2023/05/21 23:26:30,quant_conv2d,1,2,7,1,0.9115999937057495,0.0,0.28918319940567017
24591,2023/05/21 23:26:33,quant_conv2d,1,2,8,1,0.9115999937057495,0.0,0.28918829560279846
24592,2023/05/21 23:26:36,quant_conv2d,1,2,1,2,0.9115999937057495,0.0,0.289176881313324
24593,2023/05/21 23:26:39,quant_conv2d,1,2,2,2,0.9115999937057495,0.0,0.2891831398010254
24594,2023/05/21 23:26:42,quant_conv2d,1,2,3,2,0.9115999937057495,0.0,0.28918230533599854
